MCP1,IP10,MCP1_hi,IP10_hi,ISS,MIG,IL6_hi,IL6,nodeX,ISS_hi,simID,timepoint,injury
0,1,0,1,1,0,0,0,1,0,8,8,Moderate
0,1,0,1,1,0,0,0,1,0,8,9,Moderate
0,1,0,1,1,0,0,0,1,0,8,10,Moderate
0,1,0,1,1,0,0,0,1,0,8,11,Moderate
0,1,0,1,1,0,0,0,1,0,8,12,Moderate
0,1,0,1,1,0,0,0,1,0,8,13,Moderate
0,1,0,1,1,0,0,0,1,0,8,14,Moderate
0,1,0,1,1,0,0,0,1,0,8,15,Moderate
0,1,0,1,1,0,0,0,1,0,8,16,Moderate
0,1,0,1,1,0,0,0,1,0,8,17,Moderate
0,1,0,1,1,0,0,0,1,0,8,18,Moderate
0,1,0,1,1,0,0,0,1,0,8,19,Moderate
0,1,0,1,1,0,0,0,1,0,8,20,Moderate
1,0,1,1,1,0,1,0,0,0,9,0,Moderate
0,0,0,0,1,0,0,1,1,0,9,1,Moderate
0,1,0,1,1,0,0,0,1,0,9,2,Moderate
0,1,0,1,1,0,0,0,1,0,9,3,Moderate
0,1,0,1,1,0,0,0,1,0,9,4,Moderate
0,1,0,1,1,0,0,0,1,0,9,5,Moderate
0,1,0,1,1,0,0,0,1,0,9,6,Moderate
0,1,0,1,1,0,0,0,1,0,9,7,Moderate
0,1,0,1,1,0,0,0,1,0,9,8,Moderate
0,1,0,1,1,0,0,0,1,0,9,9,Moderate
0,1,0,1,1,0,0,0,1,0,9,10,Moderate
0,1,0,1,1,0,0,0,1,0,9,11,Moderate
0,1,0,1,1,0,0,0,1,0,9,12,Moderate
0,1,0,1,1,0,0,0,1,0,9,13,Moderate
0,1,0,1,1,0,0,0,1,0,9,14,Moderate
0,1,0,1,1,0,0,0,1,0,9,15,Moderate
0,1,0,1,1,0,0,0,1,0,9,16,Moderate
0,1,0,1,1,0,0,0,1,0,9,17,Moderate
0,1,0,1,1,0,0,0,1,0,9,18,Moderate
0,1,0,1,1,0,0,0,1,0,9,19,Moderate
0,1,0,1,1,0,0,0,1,0,9,20,Moderate
0,0,0,0,1,1,1,0,0,0,10,0,Moderate
0,0,0,0,1,1,0,1,1,0,10,1,Moderate
0,1,0,0,1,1,0,1,1,0,10,2,Moderate
